,instance_indexinmglist,study_instance_indexinmglist
0,57164_0,2882_57164_0
4,57164_1,2882_57164_1
28,58207_0,2966_58207_0
32,58207_1,2966_58207_1
81,102950_0,5898_102950_0
85,102950_1,5898_102950_1
132,105943_0,6085_105943_0
136,105943_1,6085_105943_1
142,105951_0,6086_105951_0
146,105951_1,6086_105951_1
203,106084_0,6092_106084_0
204,106089_0,6092_106089_0
211,106089_1,6092_106089_1
215,106319_1,6104_106319_1
219,106319_0,6104_106319_0
220,106319_2,6104_106319_2
296,110428_0,6363_110428_0
300,110429_0,6363_110429_0
320,110455_0,6364_110455_0
324,110455_1,6364_110455_1
340,111573_0,6421_111573_0
351,111573_1,6421_111573_1
380,113121_0,6516_113121_0
384,113121_1,6516_113121_1
395,114265_0,6611_114265_0
399,114265_1,6611_114265_1
408,114501_0,6635_114501_0
409,114516_0,6635_114516_0
416,114501_1,6635_114501_1
417,114516_1,6635_114516_1
429,115136_0,6670_115136_0
433,115136_1,6670_115136_1
447,115185_0,6673_115185_0
451,115185_1,6673_115185_1
468,116021_0,6729_116021_0
472,116021_1,6729_116021_1
483,116064_0,6732_116064_0
487,116064_1,6732_116064_1
522,116149_0,6737_116149_0
526,116149_1,6737_116149_1
560,116279_0,6746_116279_0
564,116279_1,6746_116279_1
622,117040_0,6808_117040_0
626,117040_1,6808_117040_1
652,117616_0,6852_117616_0
656,117616_1,6852_117616_1
673,118258_0,6892_118258_0
677,118258_1,6892_118258_1
688,118277_0,6893_118277_0
692,118277_1,6893_118277_1
701,118399_0,6899_118399_0
705,118399_1,6899_118399_1
776,119931_1,6996_119931_1
780,119931_2,6996_119931_2
794,120088_0,7006_120088_0
798,120088_1,7006_120088_1
809,120734_0,7051_120734_0
813,120734_1,7051_120734_1
830,121948_0,7130_121948_0
834,121948_1,7130_121948_1
848,122302_0,7159_122302_0
852,122302_1,7159_122302_1
860,124013_0,7265_124013_0
864,124013_1,7265_124013_1
871,124040_0,7269_124040_0
875,124040_1,7269_124040_1
901,124998_0,7331_124998_0
905,124998_1,7331_124998_1
911,125143_0,7341_125143_0
915,125143_1,7341_125143_1
935,125440_0,7360_125440_0
939,125440_1,7360_125440_1
957,125620_0,7374_125620_0
961,125620_1,7374_125620_1
974,125873_0,7389_125873_0
978,125873_1,7389_125873_1
997,126020_0,7397_126020_0
1001,126020_1,7397_126020_1
1014,126264_0,7413_126264_0
1018,126264_1,7413_126264_1
1022,126314_0,7416_126314_0
1026,126314_1,7416_126314_1
1048,126430_0,7424_126430_0
1052,126430_1,7424_126430_1
1073,126842_0,7456_126842_0
1077,126842_1,7456_126842_1
1098,127754_0,7513_127754_0
1102,127754_1,7513_127754_1
1106,129566_0,7641_129566_0
1110,129567_0,7641_129567_0
1150,132819_0,7844_132819_0
1154,132819_1,7844_132819_1
1197,134680_0,7946_134680_0
1201,134679_0,7946_134679_0
1242,136533_0,8045_136533_0
1246,136532_0,8045_136532_0
1280,138324_0,8154_138324_0
1284,138324_1,8154_138324_1
1299,138502_0,8163_138502_0
1303,138502_1,8163_138502_1
1315,138626_0,8172_138626_0
1319,138627_0,8172_138627_0
1327,140747_0,8311_140747_0
1331,140747_1,8311_140747_1
1345,141270_0,8348_141270_0
1349,141271_0,8348_141271_0
1365,141891_0,8389_141891_0
1369,141890_0,8389_141890_0
1380,142240_0,8416_142240_0
1384,142240_1,8416_142240_1
1398,142403_0,8425_142403_0
1402,142404_0,8425_142404_0
1413,143026_0,8458_143026_0
1417,143027_0,8458_143027_0
1432,143773_0,8505_143773_0
1436,143774_0,8505_143774_0
1445,143821_0,8507_143821_0
1449,143832_0,8507_143832_0
1471,144297_0,8539_144297_0
1475,144298_0,8539_144298_0
1486,145919_0,8651_145919_0
1490,145920_0,8651_145920_0
1496,147038_0,8736_147038_0
